"CertifiedID","EvidenceShellPath","Field","Issue","CurrentValue"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaSummary","BLOCKED_PLACEHOLDER","Blocked: functional QA execution record has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaDefects","BLOCKED_PLACEHOLDER","Blocked: functional QA defect log has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FunctionalQaRetest","BLOCKED_PLACEHOLDER","Blocked: functional QA retest result has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ContentQaStatus","BLOCKED_PLACEHOLDER","BLOCKED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ContentQaSummary","BLOCKED_PLACEHOLDER","Blocked: content QA review record has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","WordingResult","BLOCKED_PLACEHOLDER","Blocked: wording review result has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","LogicResult","BLOCKED_PLACEHOLDER","Blocked: logic review result has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ProgressionQaStatus","BLOCKED_PLACEHOLDER","BLOCKED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","SequenceReview","BLOCKED_PLACEHOLDER","Blocked: progression review record has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","CategoryFit","BLOCKED_PLACEHOLDER","Blocked: category-fit result has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","StageFit","BLOCKED_PLACEHOLDER","Blocked: stage-fit result has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","PlaytestStatus","BLOCKED_PLACEHOLDER","BLOCKED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","TelemetryStatus","BLOCKED_PLACEHOLDER","BLOCKED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ApprovalStatus","BLOCKED_PLACEHOLDER","BLOCKED"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet."
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ImplementationStatus","STATUS_NOT_COMPLETE","0"
"K-KC01-K1-B01","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\06_ux_qa\pilot_evidence\K-KC01-K1-B01_evidence.md","ContentQaStatus","STATUS_NOT_COMPLETE","BLOCKED"
