"LogFile","SizeBytes","LastWriteTime","Status"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","165","2026-04-26T12:05:05","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","854","2026-04-26T12:05:21","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_daily_closeout_docs_baseline_20251230_185107_package_json.log","141","2026-04-26T12:05:27","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_build_frontend_package_json.log","966","2026-04-26T12:05:41","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","26","2026-04-26T12:05:02","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_backups_baseline_snapshots_baseline_20251214_115859_backend_package_json.log","26","2026-04-26T12:05:12","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","26","2026-04-26T12:05:18","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_ci_frontend_package_json.log","25","2026-04-26T12:05:36","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_ARCHIVE_DUPLICATES_2025_12_27_frontend_20251029_090727_package_json.log","381","2026-04-26T12:05:09","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","142","2026-04-26T12:05:25","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_lint_daily_closeout_docs_baseline_20251230_185107_package_json.log","142","2026-04-26T12:05:31","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_test_backups_baseline_snapshots_baseline_20251214_115859_frontend_package_json.log","138","2026-04-26T12:05:23","READY_TO_COMMIT"
"docs/planning/kids_certified/08_final_qa/automated_runtime_evidence_2026-04-26/npm_test_daily_closeout_docs_baseline_20251230_185107_package_json.log","138","2026-04-26T12:05:29","READY_TO_COMMIT"
