"FileName","FullPath","Extension","LastWriteTime","NextUse"
"exact_source_review_bundle_manifest.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_review_bundle_2026-04-17\exact_source_review_bundle_manifest.txt",".txt","2026-04-19 15:08:48","REFERENCE"
"01_ApprovalRecord_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\01_ApprovalRecord_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","REFERENCE"
"02_GovernancePackNotes_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\02_GovernancePackNotes_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","REFERENCE"
"03_RoadmapFacingSourceDocs_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\03_RoadmapFacingSourceDocs_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","PRIORITY_REVIEW"
"04_06_ux_qa_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\04_06_ux_qa_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","REFERENCE"
"05_GovernanceReleaseWaveLegacyCrossAge_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\05_GovernanceReleaseWaveLegacyCrossAge_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","REFERENCE"
"authoritative_exact_source_values_2026-04-17.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_exact_source_values_2026-04-17.csv",".csv","2026-04-21 14:53:51","REFERENCE"
"authoritative_source_compact_matrix_2026-04-20.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_source_compact_matrix_2026-04-20.csv",".csv","2026-04-21 15:50:41","REFERENCE"
"authoritative_source_values.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_source_values.csv",".csv","2026-04-21 14:53:50","REFERENCE"
"authoritative_value_allowed_lookup_2026-04-18.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_value_allowed_lookup_2026-04-18.csv",".csv","2026-04-19 19:14:00","REFERENCE"
"authoritative_value_machine_entry_2026-04-18.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\authoritative_value_machine_entry_2026-04-18.csv",".csv","2026-04-19 19:14:00","REFERENCE"
"exact_source_blocked_status_2026-04-21.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_blocked_status_2026-04-21.csv",".csv","2026-04-22 19:28:41","REFERENCE"
"exact_source_blocked_status_2026-04-21.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_blocked_status_2026-04-21.txt",".txt","2026-04-21 15:36:18","REFERENCE"
"exact_source_column_mapping_template_2026-04-21.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_column_mapping_template_2026-04-21.csv",".csv","2026-04-21 17:27:16","REFERENCE"
"exact_source_column_mapping_template_2026-04-21.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_column_mapping_template_2026-04-21.txt",".txt","2026-04-21 17:27:16","REFERENCE"
"exact_source_coverage_gap_matrix_2026-04-21.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_coverage_gap_matrix_2026-04-21.csv",".csv","2026-04-21 19:58:01","REFERENCE"
"exact_source_coverage_gap_matrix_2026-04-21.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_coverage_gap_matrix_2026-04-21.txt",".txt","2026-04-21 19:48:38","REFERENCE"
"exact_source_deep_root_cause_2026-04-21.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_deep_root_cause_2026-04-21.csv",".csv","2026-04-21 17:00:58","REFERENCE"
"exact_source_deep_root_cause_2026-04-21.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_deep_root_cause_2026-04-21.txt",".txt","2026-04-21 16:36:04","REFERENCE"
"exact_source_lane_completion_marker_2026-04-22.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_lane_completion_marker_2026-04-22.csv",".csv","2026-04-22 19:43:38","REFERENCE"
"exact_source_lane_completion_marker_2026-04-22.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\exact_source_lane_completion_marker_2026-04-22.txt",".txt","2026-04-22 19:43:38","REFERENCE"
