"FileName","FullPath","Extension","LastWriteTime","ReviewBucket","TransitionStatus"
"game_workstream_transition_tracker_2026-04-22.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\game_workstream_transition_tracker_2026-04-22.csv",".csv","2026-04-22 19:43:38","TRACKER","READY_FOR_REVIEW"
"tracker_manual_exact_path_intake.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_manual_exact_path_intake.csv",".csv","2026-04-17 13:46:22","TRACKER","READY_FOR_REVIEW"
"tracker_remaining_unresolved_exact_paths.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_remaining_unresolved_exact_paths.csv",".csv","2026-04-16 21:50:13","TRACKER","READY_FOR_REVIEW"
"tracker_apply_readiness_rollup.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_apply_readiness_rollup.csv",".csv","2026-04-16 21:50:13","TRACKER","READY_FOR_REVIEW"
"tracker_exact_path_resolution.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_exact_path_resolution.csv",".csv","2026-04-16 21:50:13","TRACKER","READY_FOR_REVIEW"
"kids_governance_tracker_blockers.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_governance_tracker_blockers.csv",".csv","2026-04-16 21:50:13","TRACKER","READY_FOR_REVIEW"
"tracker_exact_path_verification_queue.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_exact_path_verification_queue.csv",".csv","2026-04-16 21:50:13","TRACKER","READY_FOR_REVIEW"
"03_RoadmapFacingSourceDocs_authoritative_exact_path.txt","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\apply_gate_rollup_2026-04-13\kids_exact_path_authoritative_refs_2026-04-17\03_RoadmapFacingSourceDocs_authoritative_exact_path.txt",".txt","2026-04-16 21:40:03","ROADMAP","READY_FOR_REVIEW"
"tracker_final_unresolved_blockers.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_final_unresolved_blockers.csv",".csv","2026-04-15 21:09:19","TRACKER","READY_FOR_REVIEW"
"tracker_fallback_auto_resolution_audit.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_fallback_auto_resolution_audit.csv",".csv","2026-04-15 20:21:23","TRACKER","READY_FOR_REVIEW"
"tracker_unresolved_candidate_paths.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_unresolved_candidate_paths.csv",".csv","2026-04-15 20:14:32","TRACKER","READY_FOR_REVIEW"
"tracker_unresolved_exact_paths.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_unresolved_exact_paths.csv",".csv","2026-04-15 19:53:00","TRACKER","READY_FOR_REVIEW"
"tracker_deep_exact_path_matches.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_deep_exact_path_matches.csv",".csv","2026-04-15 19:40:21","TRACKER","READY_FOR_REVIEW"
"tracker_manual_exact_path_selection.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_manual_exact_path_selection.csv",".csv","2026-04-15 19:40:21","TRACKER","READY_FOR_REVIEW"
"tracker_exact_path_suggestions.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_exact_path_suggestions.csv",".csv","2026-04-14 20:36:32","TRACKER","READY_FOR_REVIEW"
"tracker_no_match_blockers.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_no_match_blockers.csv",".csv","2026-04-14 20:18:20","TRACKER","READY_FOR_REVIEW"
"tracker_broader_exact_path_scan.csv","C:\Projects\MindLab_Starter_Project\docs\planning\kids_certified\00_control\tracker_refresh_2026-04-12\tracker_broader_exact_path_scan.csv",".csv","2026-04-14 20:13:37","TRACKER","READY_FOR_REVIEW"
