"DocId","RepoRelativePath","FileName","Extension","Status"
"KID-DOC-001","docs/deployment/mindlab_release_notes_2026-04-05.md","mindlab_release_notes_2026-04-05.md",".md","DISCOVERED"
"KID-DOC-002","docs/deployment/mindlab_tracker_reconciliation_prompt_2026-04-08.txt","mindlab_tracker_reconciliation_prompt_2026-04-08.txt",".txt","DISCOVERED"
"KID-DOC-003","docs/deployment/phase16_frontend_blank_page_diagnosis.txt","phase16_frontend_blank_page_diagnosis.txt",".txt","DISCOVERED"
"KID-DOC-004","docs/deployment/phase18_backend_api_mismatch_probe.txt","phase18_backend_api_mismatch_probe.txt",".txt","DISCOVERED"
"KID-DOC-005","docs/EXECUTION_LOCK.md","EXECUTION_LOCK.md",".md","DISCOVERED"
"KID-DOC-006","docs/NEXT_PHASE_READY.md","NEXT_PHASE_READY.md",".md","DISCOVERED"
"KID-DOC-007","docs/PHASE_5_GAME_EXPANSION_CONTRACTS.md","PHASE_5_GAME_EXPANSION_CONTRACTS.md",".md","DISCOVERED"
"KID-DOC-008","docs/PHASE_5_SCOPE.md","PHASE_5_SCOPE.md",".md","DISCOVERED"
"KID-DOC-009","docs/planning/game_completion_remaining_work_2026-04-25.csv","game_completion_remaining_work_2026-04-25.csv",".csv","DISCOVERED"
"KID-DOC-010","docs/planning/game_completion_remaining_work_2026-04-25.txt","game_completion_remaining_work_2026-04-25.txt",".txt","DISCOVERED"
"KID-DOC-011","docs/planning/kids_business_rules_matrix_2026-04-25.csv","kids_business_rules_matrix_2026-04-25.csv",".csv","DISCOVERED"
"KID-DOC-012","docs/planning/kids_business_rules_matrix_2026-04-25.txt","kids_business_rules_matrix_2026-04-25.txt",".txt","DISCOVERED"
"KID-DOC-013","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/authoritative_exact_source_values_2026-04-17.csv","authoritative_exact_source_values_2026-04-17.csv",".csv","DISCOVERED"
"KID-DOC-014","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/authoritative_source_compact_matrix_2026-04-20.csv","authoritative_source_compact_matrix_2026-04-20.csv",".csv","DISCOVERED"
"KID-DOC-015","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/authoritative_source_values.csv","authoritative_source_values.csv",".csv","DISCOVERED"
"KID-DOC-016","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_lane_completion_marker_2026-04-22.csv","exact_source_lane_completion_marker_2026-04-22.csv",".csv","DISCOVERED"
"KID-DOC-017","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_lane_completion_marker_2026-04-22.txt","exact_source_lane_completion_marker_2026-04-22.txt",".txt","DISCOVERED"
"KID-DOC-018","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_raw_schema_snapshot_2026-04-21.csv","exact_source_raw_schema_snapshot_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-019","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_remaining_review_queue_2026-04-21.csv","exact_source_remaining_review_queue_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-020","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_review_bundle_2026-04-17/exact_source_review_bundle_manifest.txt","exact_source_review_bundle_manifest.txt",".txt","DISCOVERED"
"KID-DOC-021","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_review_diagnostics_2026-04-21.csv","exact_source_review_diagnostics_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-022","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_review_file_manifest_2026-04-21.csv","exact_source_review_file_manifest_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-023","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_root_cause_audit_2026-04-21.csv","exact_source_root_cause_audit_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-024","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/exact_source_schema_probe_2026-04-21.csv","exact_source_schema_probe_2026-04-21.csv",".csv","DISCOVERED"
"KID-DOC-025","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/game_workstream_transition_tracker_2026-04-22.csv","game_workstream_transition_tracker_2026-04-22.csv",".csv","DISCOVERED"
"KID-DOC-026","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_apply_execution_order.txt","kids_apply_execution_order.txt",".txt","DISCOVERED"
"KID-DOC-027","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_apply_gate_rollup.csv","kids_apply_gate_rollup.csv",".csv","DISCOVERED"
"KID-DOC-028","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_area_readiness_summary.csv","kids_area_readiness_summary.csv",".csv","DISCOVERED"
"KID-DOC-029","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_authoritative_refs_2026-04-17/01_ApprovalRecord_authoritative_exact_path.txt","01_ApprovalRecord_authoritative_exact_path.txt",".txt","DISCOVERED"
"KID-DOC-030","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_authoritative_refs_2026-04-17/02_GovernancePackNotes_authoritative_exact_path.txt","02_GovernancePackNotes_authoritative_exact_path.txt",".txt","DISCOVERED"
"KID-DOC-031","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_authoritative_refs_2026-04-17/03_RoadmapFacingSourceDocs_authoritative_exact_path.txt","03_RoadmapFacingSourceDocs_authoritative_exact_path.txt",".txt","DISCOVERED"
"KID-DOC-032","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_authoritative_refs_2026-04-17/04_06_ux_qa_authoritative_exact_path.txt","04_06_ux_qa_authoritative_exact_path.txt",".txt","DISCOVERED"
"KID-DOC-033","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_authoritative_refs_2026-04-17/05_GovernanceReleaseWaveLegacyCrossAge_authoritative_exact_path.txt","05_GovernanceReleaseWaveLegacyCrossAge_authoritative_exact_path.txt",".txt","DISCOVERED"
"KID-DOC-034","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_blocker_action_pack.csv","kids_exact_path_blocker_action_pack.csv",".csv","DISCOVERED"
"KID-DOC-035","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_blocker_action_pack_summary.txt","kids_exact_path_blocker_action_pack_summary.txt",".txt","DISCOVERED"
"KID-DOC-036","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_exact_path_lookup_index.csv","kids_exact_path_lookup_index.csv",".csv","DISCOVERED"
"KID-DOC-037","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_final_unresolved_exact_path_blockers.csv","kids_final_unresolved_exact_path_blockers.csv",".csv","DISCOVERED"
"KID-DOC-038","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_global_apply_readiness_rollup.csv","kids_global_apply_readiness_rollup.csv",".csv","DISCOVERED"
"KID-DOC-039","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_global_readiness_decision_log.csv","kids_global_readiness_decision_log.csv",".csv","DISCOVERED"
"KID-DOC-040","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_governance_tracker_blockers.csv","kids_governance_tracker_blockers.csv",".csv","DISCOVERED"
"KID-DOC-041","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_manual_exact_path_intake_status.csv","kids_manual_exact_path_intake_status.csv",".csv","DISCOVERED"
"KID-DOC-042","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_manual_exact_path_validation.csv","kids_manual_exact_path_validation.csv",".csv","DISCOVERED"
"KID-DOC-043","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_next_action_execution_queue.csv","kids_next_action_execution_queue.csv",".csv","DISCOVERED"
"KID-DOC-044","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_next_apply_gate.txt","kids_next_apply_gate.txt",".txt","DISCOVERED"
"KID-DOC-045","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_pre_apply_snapshot_batch.csv","kids_pre_apply_snapshot_batch.csv",".csv","DISCOVERED"
"KID-DOC-046","docs/planning/kids_certified/00_control/apply_gate_rollup_2026-04-13/kids_pre_apply_snapshot_execution_precheck.csv","kids_pre_apply_snapshot_execution_precheck.csv",".csv","DISCOVERED"
